state,side,type,year.dedicated,year.removed,status
TX,South,Courthouse,1903,,Active
TX,South,Courthouse,1907,,Active
TX,South,Courthouse,1936,,Active
TX,South,Courthouse,1963,,Active
TX,South,Courthouse,2001,,Active
TX,South,Courthouse,1936,,Active
TX,South,Courthouse,1916,,Active
TX,South,Courthouse,1912,,Active
TX,South,Courthouse,1915,,Active
VA,South,Courthouse,1907,,Active
VA,South,Courthouse,1905,,Active
VA,South,Courthouse,1922,,Active
VA,South,Courthouse,1905,,Active
VA,South,Courthouse,1935,,Active
VA,South,Courthouse,1900,,Active
VA,South,Courthouse,1911,,Active
VA,South,Courthouse,1906,,Active
VA,South,Courthouse,1908,,Active
VA,South,Courthouse,1901,,Active
VA,South,Courthouse,1909,,Active
VA,South,Courthouse,1899,,Active
VA,South,Courthouse,1903,,Active
VA,South,Courthouse,1902,,Active
VA,South,Courthouse,1911,,Active
VA,South,Courthouse,1972,,Active
VA,South,Courthouse,1909,,Active
VA,South,Courthouse,1913,,Active
VA,South,Courthouse,1910,,Active
VA,South,Courthouse,1904,,Active
VA,South,Courthouse,1904,,Active
VA,South,Courthouse,1904,,Active
VA,South,Courthouse,1911,,Active
VA,South,Courthouse,1988,,Active
VA,South,Courthouse,1889,,Active
VA,South,Courthouse,1918,,Active
VA,South,Courthouse,1911,,Active
VA,South,Courthouse,1873,,Active
VA,South,Courthouse,1907,,Active
VA,South,Courthouse,1911,,Active
VA,South,Courthouse,1912,,Active
VA,South,Courthouse,1872,,Active
VA,South,Courthouse,1910,,Active
VA,South,Courthouse,1908,,Active
VA,South,Courthouse,1905,,Active
VA,South,Courthouse,1965,,Active
VA,South,Courthouse,1916,,Active
VA,South,Courthouse,1912,2017,Removed
VA,South,Courthouse,1901,,Active
VA,South,Courthouse,1904,,Active
VA,South,Courthouse,1912,,Active
VA,South,Courthouse,1918,,Active
VA,South,Courthouse,1876,,Active
VA,South,Courthouse,1912,,Active
VA,South,Courthouse,1893,,Active
VA,South,Courthouse,1900,,Active
VA,South,Courthouse,1901,,Active
VA,South,Courthouse,2015,,Active
VA,South,Courthouse,1905,,Active
VA,South,Courthouse,1999,,Active
VA,South,Courthouse,1910,,Active
VA,South,Courthouse,1918,,Active
VA,South,Courthouse,1936,,Active
VA,South,Courthouse,1903,,Active
VA,South,Courthouse,1912,,Active
VA,South,Courthouse,1906,,Active
VA,South,Courthouse,1903,,Active
VA,South,Courthouse,1922,,Active
VA,South,Courthouse,1900,,Active
VA,South,Courthouse,1908,,Active
VA,South,Courthouse,1905,,Active
WV,South,Courthouse,1953,,Active
AL,South,"Flags, Etc.",1923,,Active
AL,South,"Flags, Etc.",1963,1993,Removed
FL,South,"Flags, Etc.",2016,,Active
MS,South,"Flags, Etc.",1894,,Active
SC,South,"Flags, Etc.",1961,2015,Removed
SD,Not a State,"Flags, Etc.",2009,,Active
VA,South,"Flags, Etc.",2008,,Active
AL,South,Highway / Roadway,1940,,Active
AZ,Not a State,Highway / Roadway,1961,,Active
NC,South,Highway / Roadway,1869,,Active
NC,South,Highway / Roadway,1869,,Active
VA,South,Highway / Roadway,1934,,Active
AR,South,Holiday,2017,,Active
AR,South,Holiday,1947,2017,Removed
FL,South,Holiday,1895,,Active
FL,South,Holiday,1905,,Active
SC,South,Holiday,2000,,Active
TN,South,Holiday,2017,,Active
VA,South,Holiday,1889,,Active
AL,South,Military Base,1942,,Active
GA,South,Military Base,1918,,Active
GA,South,Military Base,1917,,Active
GA,South,Military Base,1895,,Active
GA,South,Military Base,1999,,Active
GA,South,Military Base,1909,,Active
GA,South,Military Base,1928,,Active
GA,South,Military Base,1935,,Active
LA,South,Military Base,1941,,Active
LA,South,Military Base,1917,,Active
NC,South,Military Base,1918,,Active
TX,South,Military Base,1942,,Active
VA,South,Military Base,1941,,Active
VA,South,Military Base,1917,,Active
VA,South,Military Base,1942,,Active
AL,South,Monument,1923,,Active
AL,South,Monument,1905,,Active
AL,South,Monument,1914,,Active
AL,South,Monument,1905,,Active
AL,South,Monument,1941,,Active
AL,South,Monument,1910,,Active
AL,South,Monument,1904,,Active
AL,South,Monument,1913,,Active
AL,South,Monument,1907,,Active
AL,South,Monument,1992,,Active
AL,South,Monument,1903,,Active
AL,South,Monument,1977,,Active
AL,South,Monument,1936,,Active
AL,South,Monument,1926,,Active
AL,South,Monument,1909,,Active
AL,South,Monument,1939,,Active
AL,South,Monument,1980,,Active
AL,South,Monument,1996,,Active
AL,South,Monument,2014,,Active
AL,South,Monument,1913,,Active
AL,South,Monument,1900,,Active
AL,South,Monument,1942,,Active
AL,South,Monument,1897,,Active
AL,South,Monument,1908,,Active
AL,South,Monument,1911,,Active
AL,South,Monument,1911,,Active
AL,South,Monument,1938,,Active
AL,South,Monument,1910,,Active
AL,South,Monument,1908,,Active
AL,South,Monument,1916,,Active
AL,South,Monument,2002,,Active
AL,South,Monument,2006,,Active
AL,South,Monument,1931,,Active
AL,South,Monument,1907,,Active
AL,South,Monument,1917,,Active
AL,South,Monument,2010,,Active
AL,South,Monument,1908,,Active
AL,South,Monument,1914,,Active
AL,South,Monument,1906,,Active
AR,South,Monument,1907,,Active
AR,South,Monument,1908,,Active
AR,South,Monument,1921,,Active
AR,South,Monument,1903,,Active
AR,South,Monument,1986,,Active
AR,South,Monument,1934,,Active
AR,South,Monument,1914,,Active
AR,South,Monument,1936,,Active
AR,South,Monument,1905,,Active
AR,South,Monument,1923,,Active
AR,South,Monument,1928,,Active
AR,South,Monument,1928,,Active
AR,South,Monument,1932,,Active
AR,South,Monument,1911,,Active
AR,South,Monument,1910,,Active
AR,South,Monument,1964,,Active
AR,South,Monument,1910,,Active
AR,South,Monument,1969,,Active
AR,South,Monument,1996,,Active
AR,South,Monument,1926,,Active
AZ,Not a State,Monument,1943,,Active
AZ,Not a State,Monument,1961,,Active
AZ,Not a State,Monument,1984,,Active
CA,North,Monument,1942,,Active
CA,North,Monument,1944,,Active
CA,North,Monument,1937,,Active
CA,North,Monument,1926,2017,Removed
DC,Border,Monument,1901,,Active
DC,Border,Monument,1953,2017,Removed
DE,North,Monument,2007,,Active
FL,South,Monument,1958,,Active
FL,South,Monument,1979,,Active
FL,South,Monument,1966,,Active
FL,South,Monument,1983,,Active
FL,South,Monument,1898,,Active
FL,South,Monument,1915,,Active
FL,South,Monument,1950,,Active
FL,South,Monument,1910,,Active
FL,South,Monument,1921,,Active
FL,South,Monument,1911,2017,Removed
FL,South,Monument,1891,,Active
FL,South,Monument,1872,,Active
FL,South,Monument,1920,,Active
FL,South,Monument,2006,,Active
FL,South,Marker,1940,,Active
FL,South,Monument,1939,2017,Removed
FL,South,Monument,2002,,Active
GA,South,Monument,1901,,Active
GA,South,Monument,1909,,Active
GA,South,Monument,1872,,Active
GA,South,Monument,1939,,Active
GA,South,Monument,1902,,Active
GA,South,Monument,1911,,Active
GA,South,Monument,1878,,Active
GA,South,Monument,1930,,Active
GA,South,Monument,1936,,Active
GA,South,Monument,1902,,Active
GA,South,Monument,1910,,Active
GA,South,Monument,1879,,Active
GA,South,Monument,1879,,Active
GA,South,Monument,1936,,Active
GA,South,Monument,1911,,Active
GA,South,Monument,1910,,Active
GA,South,Monument,2012,,Active
GA,South,Monument,1912,,Active
GA,South,Monument,1908,,Active
GA,South,Monument,1911,,Active
GA,South,Monument,1908,,Active
GA,South,Monument,1898,,Active
GA,South,Monument,1937,,Active
GA,South,Monument,1911,,Active
GA,South,Monument,1911,,Active
GA,South,Monument,1909,,Active
GA,South,Monument,1902,,Active
GA,South,Monument,1879,,Active
GA,South,Monument,1908,,Active
GA,South,Monument,1912,,Active
GA,South,Monument,1911,,Active
GA,South,Monument,1910,,Active
GA,South,Monument,1902,2018,Removed
GA,South,Monument,1875,2018,Removed
GA,South,Monument,1902,2018,Removed
GA,South,Monument,1923,,Active
GA,South,Monument,1972,,Active
GA,South,Monument,1977,,Active
GA,South,Monument,1913,,Active
GA,South,Monument,1896,,Active
GA,South,Monument,1910,,Active
GA,South,Monument,1936,,Active
GA,South,Monument,1938,,Active
GA,South,Monument,1910,,Active
IA,North,Monument,2007,,Active
KS,North,Monument,1976,2015,Removed
KY,Border,Monument,1895,,Active
KY,Border,Monument,1913,,Active
KY,Border,Monument,1910,,Active
KY,Border,Monument,1930,,Active
KY,Border,Monument,1929,,Active
KY,Border,Monument,1902,,Active
KY,Border,Monument,1888,,Active
KY,Border,Monument,1905,,Active
KY,Border,Monument,1911,,Active
KY,Border,Monument,1935,,Active
KY,Border,Monument,1904,,Active
KY,Border,Monument,1931,,Active
KY,Border,Monument,1887,2017,Removed
KY,Border,Monument,1895,2016,Removed
KY,Border,Monument,1917,,Active
KY,Border,Monument,1910,,Active
KY,Border,Monument,1900,,Active
KY,Border,Monument,1935,,Active
KY,Border,Monument,1909,,Active
KY,Border,Monument,1910,,Active
LA,South,Monument,1886,2012,Removed
LA,South,Monument,1931,,Active
LA,South,Monument,1913,,Active
LA,South,Monument,1968,,Active
LA,South,Monument,1909,,Active
LA,South,Monument,1999,,Active
LA,South,Monument,1984,,Active
LA,South,Monument,1933,,Active
LA,South,Monument,1957,,Active
LA,South,Monument,1922,,Active
LA,South,Monument,1949,,Active
LA,South,Monument,1930,,Active
LA,South,Monument,1911,2017,Removed
LA,South,Monument,1915,2017,Removed
LA,South,Monument,1884,2017,Removed
LA,South,Monument,1994,,Active
LA,South,Monument,1994,,Active
LA,South,Monument,1912,,Active
LA,South,Monument,2006,,Active
MA,North,Monument,1963,2017,Removed
MD,Border,Monument,1903,2017,Removed
MD,Border,Monument,1917,2017,Removed
MD,Border,Monument,1948,2017,Removed
MD,Border,Monument,1916,,Active
MO,Border,Monument,2001,,Active
MO,Border,Monument,1996,,Active
MO,Border,Monument,1933,,Active
MO,Border,Monument,1934,2017,Removed
MO,Border,Monument,1915,,Active
MO,Border,Monument,2001,,Active
MO,Border,Monument,1997,,Active
MO,Border,Monument,1914,2017,Removed
MO,Border,Monument,1989,,Active
MO,Border,Monument,2009,,Active
MS,South,Monument,1924,,Active
MS,South,Monument,1913,,Active
MS,South,Monument,1911,,Active
MS,South,Monument,1992,,Active
MS,South,Monument,1908,,Active
MS,South,Monument,1910,,Active
MS,South,Monument,1910,,Active
MS,South,Monument,1911,,Active
MS,South,Monument,1891,,Active
MS,South,Monument,1871,,Active
MS,South,Monument,1921,,Active
MS,South,Monument,1890,,Active
MS,South,Monument,1905,,Active
MS,South,Monument,1906,,Active
MS,South,Monument,1906,,Active
MS,South,Monument,1906,,Active
MS,South,Monument,1912,,Active
MS,South,Monument,1887,,Active
MS,South,Monument,1907,,Active
MS,South,Monument,1909,,Active
MT,Not a State,Monument,1916,2017,Removed
NC,South,Monument,1925,,Active
NC,South,Monument,1926,,Active
NC,South,Monument,1897,,Active
NC,South,Monument,1926,,Active
NC,South,Monument,1913,,Active
NC,South,Monument,1929,,Active
NC,South,Monument,1977,2015,Removed
NC,South,Monument,1994,2016,Removed
NC,South,Monument,1915,,Active
NC,South,Monument,1892,,Active
NC,South,Monument,1932,2017,Removed
NC,South,Monument,1909,,Active
NC,South,Monument,1932,,Active
NC,South,Monument,1928,,Active
NC,South,Monument,1902,,Active
NC,South,Monument,1931,,Active
NC,South,Monument,1926,,Active
NC,South,Monument,1932,,Active
NC,South,Monument,1909,,Active
NC,South,Monument,1915,,Active
NC,South,Monument,1985,,Active
NC,South,Monument,1986,,Active
NC,South,Monument,1903,,Active
NC,South,Monument,1923,,Active
NC,South,Monument,1957,,Active
NC,South,Monument,1924,,Active
NC,South,Monument,1920,,Active
NC,South,Monument,1932,,Active
NC,South,Monument,1932,,Active
NC,South,Monument,1905,,Active
NC,South,Monument,1914,,Active
NC,South,Monument,2001,,Active
NC,South,Monument,1918,,Active
NC,South,Monument,1907,,Active
NC,South,Monument,1909,,Active
NC,South,Monument,1915,,Active
NC,South,Monument,1930,,Active
NC,South,Monument,1917,,Active
NC,South,Monument,1909,,Active
NC,South,Monument,1990,,Active
NC,South,Monument,1929,,Active
NC,South,Monument,1904,,Active
NC,South,Monument,1910,,Active
NC,South,Monument,2010,,Active
NC,South,Monument,1908,,Active
NC,South,Monument,1932,,Active
NC,South,Monument,1872,,Active
NC,South,Monument,1911,,Active
NC,South,Monument,1896,,Active
NC,South,Monument,1921,,Active
NM,Not a State,Monument,1955,,Active
NM,Not a State,Monument,1936,,Active
NM,Not a State,Monument,1955,,Active
NM,Not a State,Monument,1960,,Active
NY,North,Monument,1923,2017,Removed
NY,North,Monument,1957,2017,Removed
OH,North,Monument,1927,2017,Removed
OK,Not a State,Monument,1910,,Active
OK,Not a State,Monument,1906,,Active
OK,Not a State,Monument,1983,,Active
OK,Not a State,Monument,1913,,Active
OK,Not a State,Monument,1971,,Active
OK,Not a State,Monument,1918,2018,Removed
PA,North,Monument,1929,,Active
PA,North,Monument,1930,,Active
SC,South,Monument,1906,,Active
SC,South,Monument,1927,,Active
SC,South,Monument,1901,,Active
SC,South,Monument,1883,,Active
SC,South,Monument,1911,,Active
SC,South,Monument,1932,,Active
SC,South,Monument,1911,,Active
SC,South,Monument,1910,,Active
SC,South,Monument,1908,,Active
SC,South,Monument,1891,,Active
SC,South,Monument,1895,,Active
SC,South,Monument,1895,,Active
SC,South,Monument,1922,,Active
SC,South,Monument,1891,1923,Removed
SC,South,Monument,1935,,Active
SC,South,Monument,1911,,Active
SC,South,Monument,1907,,Active
SC,South,Monument,1910,,Active
SC,South,Monument,1910,,Active
SC,South,Monument,1903,,Active
SC,South,Monument,2011,,Active
SC,South,Monument,1880,,Active
SC,South,Monument,2001,,Active
SC,South,Monument,1893,,Active
SC,South,Monument,1928,,Active
SC,South,Monument,1908,,Active
SC,South,Monument,2004,,Active
SC,South,Monument,1910,,Active
SC,South,Monument,2002,,Active
SC,South,Monument,1910,,Active
SC,South,Monument,1980,,Active
SC,South,Monument,1942,,Active
SC,South,Monument,1901,,Active
SC,South,Monument,1906,,Active
TN,South,Monument,1919,,Active
TN,South,Monument,1910,,Active
TN,South,Monument,1897,,Active
TN,South,Monument,1899,,Active
TN,South,Monument,1903,,Active
TN,South,Monument,1900,,Active
TN,South,Monument,1914,,Active
TN,South,Monument,1912,,Active
TN,South,Monument,1908,2017,Removed
TN,South,Monument,1964,2017,Removed
TN,South,Monument,1904,2017,Removed
TN,South,Monument,1907,,Active
TN,South,Monument,1909,,Active
TN,South,Monument,1909,,Active
TN,South,Monument,2002,,Active
TN,South,Monument,2007,,Active
TN,South,Monument,1940,2017,Removed
TN,South,Monument,1869,,Active
TN,South,Monument,1926,,Active
TX,South,Monument,1931,,Active
TX,South,Monument,1932,2017,Removed
TX,South,Monument,1933,2016,Removed
TX,South,Monument,1931,,Active
TX,South,Monument,1926,2015,Removed
TX,South,Monument,1932,2017,Removed
TX,South,Monument,1932,2017,Removed
TX,South,Monument,1912,,Active
TX,South,Monument,1926,,Active
TX,South,Monument,1912,,Active
TX,South,Monument,1936,2017,Removed
TX,South,Monument,1917,,Active
TX,South,Monument,1908,,Active
TX,South,Monument,1926,,Active
TX,South,Monument,1999,,Active
TX,South,Monument,1905,,Active
TX,South,Monument,1908,,Active
TX,South,Monument,1906,,Active
TX,South,Monument,1911,,Active
TX,South,Monument,1937,,Active
TX,South,Monument,1929,,Active
TX,South,Monument,1956,,Active
TX,South,Monument,1900,2017,Removed
TX,South,Monument,1931,2016,Removed
TX,South,Monument,1896,,Active
TX,South,Monument,1918,,Active
TX,South,Monument,1966,,Active
TX,South,Monument,1912,,Active
TX,South,Monument,1934,,Active
VA,South,Monument,1889,,Active
VA,South,Monument,1920,,Active
VA,South,Monument,1908,,Active
VA,South,Monument,1970,,Active
VA,South,Monument,1924,,Active
VA,South,Monument,1921,,Active
VA,South,Monument,1883,,Active
VA,South,Monument,1900,,Active
VA,South,Monument,1911,,Active
VA,South,Monument,2009,,Active
VA,South,Monument,2014,,Active
VA,South,Monument,1888,,Active
VA,South,Monument,1914,,Active
VA,South,Monument,1898,,Active
VA,South,Monument,1949,,Active
VA,South,Monument,1914,,Active
VA,South,Monument,1931,,Active
VA,South,Monument,1898,,Active
VA,South,Monument,1918,,Active
VA,South,Monument,1899,,Active
VA,South,Monument,1919,,Active
VA,South,Monument,1999,,Active
VA,South,Monument,1934,,Active
VA,South,Monument,1909,,Active
VA,South,Monument,1907,,Active
VA,South,Monument,1899,,Active
VA,South,Monument,1909,,Active
VA,South,Monument,1876,,Active
VA,South,Monument,1906,,Active
VA,South,Monument,1892,,Active
VA,South,Monument,1894,,Active
VA,South,Monument,1907,,Active
VA,South,Monument,1933,,Active
VA,South,Monument,1907,,Active
VA,South,Monument,1929,,Active
VA,South,Monument,1892,,Active
VA,South,Monument,1890,,Active
VA,South,Monument,1919,,Active
VA,South,Monument,1891,,Active
VA,South,Monument,1928,,Active
VA,South,Monument,1960,,Active
VA,South,Monument,1909,,Active
VA,South,Monument,1905,,Active
VA,South,Monument,1916,,Active
WA,Not a State,Monument,1939,1998,Removed
WV,South,Monument,1931,,Active
WV,South,Monument,1914,,Active
WV,South,Monument,1908,,Active
WV,South,Monument,1901,,Active
WV,South,Monument,1913,,Active
GA,South,Other,1911,,Active
TX,South,Other,1941,,Active
AL,South,Other Government Office,1898,,Active
AL,South,Other Government Office,1940,,Active
AR,South,Other Government Office,1926,,Active
AR,South,Other Government Office,1905,,Active
AR,South,Other Government Office,1913,,Active
DC,Border,Other Government Office,1925,,Active
FL,South,Other Government Office,1904,2017,Removed
FL,South,Other Government Office,1882,,Active
GA,South,Other Government Office,1909,,Active
GA,South,Other Government Office,1907,,Active
KY,Border,Other Government Office,1936,,Active
LA,South,Other Government Office,1934,,Active
LA,South,Other Government Office,1934,,Active
LA,South,Other Government Office,1922,,Active
MS,South,Other Government Office,1926,,Active
MS,South,Other Government Office,1917,,Active
MS,South,Other Government Office,1909,,Active
NC,South,Other Government Office,1895,,Active
NC,South,Other Government Office,1914,,Active
NC,South,Other Government Office,1912,,Active
NC,South,Other Government Office,1940,,Active
NC,South,Other Government Office,1900,,Active
SC,South,Other Government Office,1881,,Active
SC,South,Other Government Office,1923,,Active
SC,South,Other Government Office,1912,,Active
SC,South,Other Government Office,1879,,Active
SC,South,Other Government Office,1906,,Active
TN,South,Other Government Office,1978,,Active
TN,South,Other Government Office,1909,,Active
TX,South,Other Government Office,1959,,Active
TX,South,Other Government Office,1903,,Active
TX,South,Other Government Office,1910,,Active
TX,South,Other Government Office,1907,,Active
TX,South,Other Government Office,1936,,Active
VA,South,Statue,1931,,Active
VA,South,Other Government Office,1875,,Active
WV,South,Other Government Office,1959,,Active
WV,South,Other Government Office,1910,,Active
WV,South,Monument,1906,,Active
AL,South,Body of Water,1936,,Active
AL,South,Park,1923,,Active
AL,South,Park,1897,,Active
AL,South,Park,1964,,Active
AL,South,Park,1949,,Active
AR,South,Park,1921,,Active
CA,North,Other,1875,,Active
FL,South,Park,1915,,Active
FL,South,Park,1899,,Active
FL,South,Park,1925,,Active
FL,South,Park,1924,1989,Removed
FL,South,Park,1889,,Active
GA,South,Park,1939,,Active
KY,Border,Park,1957,,Active
LA,South,Park,1962,,Active
MO,Border,Park,1915,,Active
MO,Border,Park,2009,,Active
MS,South,Park,1916,,Active
NC,South,Building,1909,,Active
NC,South,Other,1956,,Active
NV,North,Other,1869,,Active
SC,South,Park,1903,,Active
SC,South,Park,1891,,Active
TN,South,Park,1929,,Active
TX,South,Park,1892,,Active
TX,South,Other,2009,,Active
TX,South,Other,1854,,Active
TX,South,Park,1933,,Active
TX,South,Park,1923,2017,Removed
TX,South,Park,1983,,Active
VA,South,Park,1919,2017,Removed
VA,South,Park,1917,2017,Removed
VA,South,Park,1961,,Active
VA,South,Body of Water,1931,,Active
WV,South,Other,1966,,Active
WV,South,Park,1990,,Active
AL,South,Scholarship,1955,,Active
ME,North,Scholarship,1972,2015,Removed
AL,South,Schools,1965,2017,Removed
AL,South,Schools,1958,,Active
AL,South,Schools,1968,,Active
AL,South,Schools,1955,,Active
AL,South,Schools,1928,,Active
AL,South,Schools,1928,,Active
AL,South,Schools,1950,,Active
AR,South,Schools,1915,,Active
AR,South,Schools,1915,,Active
AR,South,Schools,1906,2005,Removed
AR,South,Schools,1951,,Active
CA,North,Schools,1959,2016,Removed
FL,South,Schools,1939,,Active
FL,South,Schools,1961,,Active
FL,South,Schools,1959,2014,Removed
FL,South,Schools,1928,,Active
FL,South,Schools,1965,,Active
FL,South,Schools,1956,2017,Removed
FL,South,Schools,1965,,Active
FL,South,Schools,1943,,Active
GA,South,Schools,1924,,Active
GA,South,Schools,1965,,Active
LA,South,Schools,1958,,Active
LA,South,Schools,1962,,Active
LA,South,Schools,1962,,Active
LA,South,College,1948,,Active
MO,Border,Schools,1934,,Active
MS,South,Schools,1960,,Active
MS,South,Schools,1911,,Active
MS,South,Schools,1907,,Active
MS,South,Schools,1965,,Active
MS,South,Schools,1906,2017,Removed
MS,South,Schools,1907,2018,Removed
MS,South,Schools,1903,,Active
OK,Not a State,Schools,1937,,Active
OK,Not a State,Schools,1910,2017,Removed
OK,Not a State,Schools,1930,2017,Removed
OK,Not a State,Schools,1931,2018,Removed
OK,Not a State,Schools,1918,,Active
TX,South,Schools,1962,,Active
TX,South,Schools,1957,,Active
TX,South,Schools,1961,,Active
TX,South,Schools,1960,2018,Removed
TX,South,Schools,1911,2018,Removed
TX,South,Schools,1965,2018,Removed
TX,South,Schools,1939,2016,Removed
